Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange2_ATR_Period,InpRange2_ATR_Multiplier,InpRange2_SL_ATR_Period,InpRange2_SL_ATR_Multiplier,InpRange2_Trailing_ATR_Period,InpRange2_Trailing_ATR_Multiplier,InpRange2_RR_Ratio,InpRange2_PartialClosePercent
1757,1142.00,5635.52,6.70895,1.14463,3.06758,2.48141,1142,17.20,840,false,104,2.88,65,1.5,108,1.7,2.4,46
2380,1139.00,5177.86,7.12223,1.23946,4.53050,2.36673,1139,19.20,727,false,13,2.76,25,1.8,38,2.3,1.8,6
3688,1135.00,7240.39,11.22541,1.29598,3.33373,3.29340,1135,21.72,645,true,25,3,23,1.5,42,1.7,2.4,31
3236,1135.00,4891.06,7.38831,1.20547,3.92204,2.34325,1135,19.21,662,true,24,2.76,25,1.65,56,1,2.7,26
2973,1135.00,7240.39,11.22541,1.29598,3.33373,3.29340,1135,21.72,645,true,25,3,66,1.5,39,1.7,2.4,31
1628,1130.00,6249.80,9.31416,1.25256,3.54032,3.02648,1130,18.26,671,true,26,2.88,93,1.5,66,1.7,1.95,11
3072,1120.00,5482.14,7.59299,1.18128,2.88553,2.22163,1120,18.69,722,false,19,2.76,86,1.65,106,1.8,2.7,26
2195,1112.00,5255.16,6.70301,1.18064,3.39150,2.13077,1112,18.52,784,false,44,3,38,1.8,23,2.7,2.4,41
3099,1104.00,5718.92,7.83414,1.19703,3.04860,2.25227,1104,18.31,730,false,26,2.76,125,1.5,128,1,3.3,76
2188,1104.00,3464.27,4.95604,1.17395,2.99791,2.09918,1104,13.56,699,true,26,2.76,59,2.25,120,1.2,1.65,46
2140,1104.00,3464.27,4.95604,1.17395,2.99791,2.09918,1104,13.56,699,true,26,2.76,58,2.25,120,1.2,1.65,46
2670,1103.00,3553.32,5.15721,1.15533,2.56889,2.16777,1103,16.54,689,true,19,2.76,132,1.5,41,2.3,1.8,86
3764,1096.00,8079.76,12.09545,1.25297,3.20576,3.22043,1096,19.46,668,true,24,2.76,125,1.5,116,1.7,2.7,26
2136,1088.00,3498.94,4.90048,1.20519,3.65921,2.18347,1088,16.76,714,false,13,2.88,46,2.4,69,1,1.5,41
2555,1072.00,5495.71,8.17814,1.23162,4.13472,2.66105,1072,20.51,672,true,26,2.76,59,1.8,140,1.2,2.4,56
2590,1072.00,5495.71,8.17814,1.23162,4.13472,2.66105,1072,20.51,672,true,26,2.76,36,1.8,114,1.2,2.4,56
2320,1072.00,5495.71,8.17814,1.23162,4.13472,2.66105,1072,20.51,672,true,26,2.76,59,1.8,107,1.2,2.4,56
2314,1072.00,5495.71,8.17814,1.23162,4.13472,2.66105,1072,20.51,672,true,26,2.76,58,1.8,129,1.2,2.4,56
2308,1072.00,5495.71,8.17814,1.23162,4.13472,2.66105,1072,20.51,672,true,26,2.76,59,1.8,114,1.2,2.4,56
2160,1072.00,5495.71,8.17814,1.23162,4.13472,2.66105,1072,20.51,672,true,26,2.76,25,1.8,38,1.2,2.4,56
1963,1070.00,4890.98,6.94742,1.21132,3.16767,2.68246,1070,18.07,704,true,27,2.76,125,1.5,128,2.3,1.8,86
