Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange3_Execution_Timeframe,InpRange3_TrendFilter_Timeframe,InpRange3_ATR_Period,InpRange3_ATR_Multiplier,InpRange3_SL_ATR_Period,InpRange3_SL_ATR_Multiplier,InpRange3_Trailing_ATR_Period,InpRange3_Trailing_ATR_Multiplier,InpRange3_RR_Ratio,InpRange3_PartialClosePercent
3177,14528.00,91.23,6.51643,3.55833,2.29972,2.98331,14528,0.79,14,true,16408,6,68,1.68,39,1.95,128,2.7,13.35,21
3468,13616.00,122.76,7.22118,3.03178,2.05525,4.04197,13616,1.16,17,true,16408,6,97,1.56,61,1.65,62,2.7,12.75,84
2821,13616.00,122.76,7.22118,3.03178,2.05525,4.04197,13616,1.16,17,true,16408,6,97,1.56,13,1.65,62,2.7,12.75,84
3902,9666.00,61.15,4.36786,3.23338,1.95118,2.65777,9666,0.62,14,true,16408,6,68,1.68,39,2.55,85,2.7,13.35,21
3764,9666.00,61.15,4.36786,3.23338,1.95118,2.65777,9666,0.62,14,true,16408,6,68,1.68,39,2.55,97,1.7,6.6,21
3669,9666.00,61.15,4.36786,3.23338,1.95118,2.65777,9666,0.62,14,true,16408,6,68,1.68,39,2.55,7,2.1,6.6,35
3660,9666.00,61.15,4.36786,3.23338,1.95118,2.65777,9666,0.62,14,true,16408,6,68,1.68,39,2.7,130,2.7,13.35,21
3544,9666.00,61.15,4.36786,3.23338,1.95118,2.65777,9666,0.62,14,true,16408,6,68,1.68,39,2.55,89,1.7,6.6,35
3317,9666.00,61.15,4.36786,3.23338,1.95118,2.65777,9666,0.62,14,true,16408,6,68,1.68,39,2.55,119,2.7,13.35,21
3332,9666.00,61.15,4.36786,3.23338,1.95118,2.65777,9666,0.62,14,true,16408,6,68,1.68,39,2.55,130,2.7,13.35,21
3150,9666.00,61.15,4.36786,3.23338,1.95118,2.65777,9666,0.62,14,true,16408,6,68,1.68,39,2.7,127,2.7,13.35,21
3716,9471.00,99.76,5.86824,2.72119,1.98884,3.64379,9471,0.98,17,true,16408,6,97,1.56,61,1.8,102,1.6,7.05,35
3575,9471.00,99.76,5.86824,2.72119,1.98884,3.64379,9471,0.98,17,true,16408,6,97,1.56,13,1.8,102,1.6,6.6,35
3484,8975.00,63.90,3.75882,2.75453,1.91089,3.66055,8975,0.66,17,true,16408,6,97,1.56,13,2.85,101,1.5,12.45,84
3188,8975.00,63.90,3.75882,2.75453,1.91089,3.66055,8975,0.66,17,true,16408,6,97,1.56,13,2.85,61,2.7,12.75,84
3678,8922.00,62.56,6.95111,3.93021,1.60287,1.07875,8922,0.77,9,true,16408,6,122,1.92,45,2.4,85,2.9,9.45,36
3360,8922.00,62.56,6.95111,3.93021,1.60287,1.07875,8922,0.77,9,true,16408,6,122,1.92,131,2.4,34,1.4,3.6,38
3194,8922.00,62.56,6.95111,3.93021,1.60287,1.07875,8922,0.77,9,true,16408,6,122,1.92,45,2.4,37,1,9.45,36
3130,8922.00,62.56,6.95111,3.93021,1.60287,1.07875,8922,0.77,9,true,16408,6,122,1.92,45,2.4,89,2.4,13.35,41
3256,8565.00,55.25,6.13889,3.84941,1.86529,1.16829,8565,0.59,9,true,16408,6,122,1.92,51,2.55,123,1.7,6.6,35
3779,8403.00,98.72,5.80706,2.76254,1.93001,3.49594,8403,1.00,17,true,16408,6,84,1.56,99,1.8,102,1.6,6.6,35
3765,7891.00,66.53,7.39222,3.62653,1.65456,1.02708,7891,0.80,9,true,16408,6,122,1.92,51,1.95,102,1.6,6.6,35
3714,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,120,2.7,126,2.4,6.6,35
3433,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,64,2.7,126,1.9,6.6,35
3157,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,10,2.7,86,1.6,2.1,33
3328,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,88,2.7,126,1.9,6.6,35
3092,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,8,2.7,73,2.8,13.35,33
2972,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,8,2.7,31,2.5,14.1,26
3149,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,88,2.7,101,1.5,12,26
3121,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,45,2.7,100,1.5,12,26
3097,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,40,2.7,86,1.6,2.1,33
3021,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,45,2.7,73,2.8,13.35,33
2774,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,88,2.7,100,1.5,12,26
2542,7546.00,64.69,3.80529,2.68026,1.89707,3.47722,7546,0.67,17,true,16408,6,84,1.56,88,2.7,127,2.7,13.35,21
3625,7493.00,63.65,3.74412,2.66536,1.87316,3.42239,7493,0.67,17,true,16408,6,85,1.56,66,2.7,82,1.6,2.1,33
3518,7493.00,63.65,3.74412,2.66536,1.87316,3.42239,7493,0.67,17,true,16408,6,85,1.56,34,2.7,82,1.6,2.1,33
3321,7493.00,63.65,3.74412,2.66536,1.87316,3.42239,7493,0.67,17,true,16408,6,85,1.56,34,2.7,86,1.6,2.1,33
3639,7472.00,60.97,3.81063,2.58776,1.44650,2.72280,7472,0.83,16,true,16408,6,133,1.56,99,2.4,118,2.4,13.35,21
3510,7472.00,60.97,3.81063,2.58776,1.44650,2.72280,7472,0.83,16,true,16408,6,133,1.56,99,2.4,85,2.9,13.35,16
3023,7472.00,60.97,3.81063,2.58776,1.44650,2.72280,7472,0.83,16,true,16408,6,133,1.56,99,2.4,123,2.4,13.35,21
2840,7472.00,60.97,3.81063,2.58776,1.44650,2.72280,7472,0.83,16,true,16408,6,133,1.56,99,2.4,117,2.4,13.35,21
3712,7399.00,62.37,3.66882,2.75394,1.82903,3.46264,7399,0.67,17,true,16408,6,84,1.56,40,2.85,126,1.9,6.6,35
